Instance,datetime,WS,WD,FireScenario
instance_name,2023-01-11 23:00:00,7.24,240,2
instance_name,2023-01-12 00:00:00,6.23,236,2
instance_name,2023-01-12 01:00:00,5.62,234,2
instance_name,2023-01-12 02:00:00,6.05,233,2
instance_name,2023-01-12 03:00:00,6.19,226,2
instance_name,2023-01-12 04:00:00,5.0,219,2
instance_name,2023-01-12 05:00:00,3.64,231,2
instance_name,2023-01-12 06:00:00,2.2,235,2
instance_name,2023-01-12 07:00:00,3.28,241,2
instance_name,2023-01-12 08:00:00,5.83,237,2
instance_name,2023-01-12 09:00:00,5.83,225,2
instance_name,2023-01-12 10:00:00,5.94,226,2
instance_name,2023-01-12 11:00:00,7.63,240,2
instance_name,2023-01-12 12:00:00,9.5,249,2
instance_name,2023-01-12 13:00:00,11.12,247,2
instance_name,2023-01-12 14:00:00,12.02,246,2
instance_name,2023-01-12 15:00:00,12.13,244,2
instance_name,2023-01-12 16:00:00,15.77,235,2
instance_name,2023-01-12 17:00:00,20.2,240,2
instance_name,2023-01-12 18:00:00,21.89,245,2
instance_name,2023-01-12 19:00:00,20.48,242,2
instance_name,2023-01-12 20:00:00,13.61,234,2
instance_name,2023-01-12 21:00:00,8.57,224,2
instance_name,2023-01-12 22:00:00,7.09,221,2
instance_name,2023-01-12 23:00:00,6.41,231,2
instance_name,2023-01-13 00:00:00,5.76,230,2
instance_name,2023-01-13 01:00:00,5.26,223,2
instance_name,2023-01-13 02:00:00,5.65,223,2
instance_name,2023-01-13 03:00:00,4.93,223,2
instance_name,2023-01-13 04:00:00,4.46,223,2
instance_name,2023-01-13 05:00:00,3.96,210,2
instance_name,2023-01-13 06:00:00,3.02,211,2
instance_name,2023-01-13 07:00:00,2.34,212,2
instance_name,2023-01-13 08:00:00,1.37,206,2
instance_name,2023-01-13 09:00:00,2.56,255,2
instance_name,2023-01-13 10:00:00,4.93,241,2
instance_name,2023-01-13 11:00:00,5.94,234,2
instance_name,2023-01-13 12:00:00,6.66,239,2
instance_name,2023-01-13 13:00:00,9.22,244,2
instance_name,2023-01-13 14:00:00,11.92,244,2
instance_name,2023-01-13 15:00:00,13.68,244,2
instance_name,2023-01-13 16:00:00,16.09,247,2
instance_name,2023-01-13 17:00:00,19.91,247,2
instance_name,2023-01-13 18:00:00,18.4,247,2
instance_name,2023-01-13 19:00:00,17.24,240,2
instance_name,2023-01-13 20:00:00,13.43,233,2
instance_name,2023-01-13 21:00:00,10.84,234,2
instance_name,2023-01-13 22:00:00,7.67,231,2
